Season,Episode,top_keywords
season-01,e1-Winter is Coming,"['king', 'father', 'know', 'll', 'don', 'grace', 'ned', 'walkers', 've', 'lord']"
season-01,e10-Fire and Blood,"['lt', 'king', 'drogo', 'll', 'night', 'lf', 'pyre', 've', 'like', 'men']"
season-01,e2-The Kings Road,"['ll', 'king', 'butcher', 'direwolf', 'lord', 'don', 'liar', 'stark', 'like', 'lady']"
season-01,e3-Lord Snow,"['don', 've', 'know', 'lord', 'like', 'll', 'ned', 'boy', 'king', 'dance']"
season-01,e4-Cripples Bastards and Broken Things,"['lord', 'king', 'ser', 'gregor', 'll', 'arryn', 've', 'don', 'know', 'did']"
season-01,e5-The Wolf and The Lion,"['jory', 'king', 'lord', 'ned', 'know', 'bran', 'll', 'men', 'don', 'mord']"
season-01,e6-A Golden Crown,"['viserys', 'mord', 'king', 'drogo', 'khal', 'louder', 'man', 'ned', 'll', 'don']"
season-01,e7-You Win or You Die,"['lord', 'merchant', 'ned', 'll', 'robert', 'syrio', 'king', 'rangers', 'men', 'stark']"
season-01,e8-The Pointy End,"['mago', 'lord', 'father', 'robb', 'king', 'khal', 'lt', 'son', 'jon', 'men']"
season-01,e9-Baelor,"['dontos', 'dothraki', 'tyrion', 'lt', 'tent', 'man', 'ser', 'drogo', 'did', 'bronn']"
season-02,e1-The North Remembers,"['king', 'lord', 'looks', 'll', 'like', 'don', 'baelish', 'know', 'men', 'joffrey']"
season-02,e10-Valar Morghulis,"['luwin', 'qhorin', 'daenerys', 'man', 'know', 'pyatt', 'pree', 'jaqen', 'xaro', 'don']"
season-02,e2-The Night Lands,"['craster', 'matthos', 'king', 'sam', 'lord', 'man', 'looks', 'don', 'walks', 'll']"
season-02,e3-What is Dead May Never Die,"['don', 'willem', 'talisa', 'myrcella', 'll', 'renly', 'robb', 'loras', 'tyrion', 'know']"
season-02,e4-Garden of Bones,"['renly', 'thirteen', 'king', 'qarth', 'joffrey', 'catelyn', 'brienne', 'lancel', 'davos', 'meryn']"
season-02,e5-The Ghost Of Harrenhal,"['rodrik', 'theon', 'dagmer', 've', 'll', 'men', 'lord', 'qarth', 'xaro', 'wildfire']"
season-02,e6-The Old Gods and the New,"['ygritte', 'll', 'jon', 'theon', 'qhorin', 'king', 'tywin', 'man', 'know', 'arya']"
season-02,e7-A Man Without Honor,"['lord', 'll', 'ygritte', 'theon', 'know', 'don', 've', 'karstark', 'king', 'qarth']"
season-02,e8-The Prince of Winterfell,"['don', 'king', 'll', 'know', 'stannis', 'men', 'bronn', 'tyrion', 'man', 'want']"
season-02,e9-Blackwater,"['stannis', 'hound', 'lancel', 'harbor', 'men', 'sansa', 'archers', 'shae', 'king', 'tyrion']"
season-03,e1-Valar Dohaeris,"['kraznys', 'king', 'tyrion', 'joffrey', 'valyrian', 'davos', 'speaking', 'father', 'men', 'margaery']"
season-03,e10-Mhysa,"['mhysa', 'hodor', 'davos', 'know', 'theon', 'sam', 'ramsay', 'jon', 'don', 'scroll']"
season-03,e2-Dark Wings Dark Words,"['thoros', 'anguy', 'don', 'brienne', 'margaery', 'bridge', 'joffrey', 'pie', 'arrow', 'sansa']"
season-03,e3-Walk of Punishment,"['locke', 'valerian', 'men', 'jaime', 'kraznys', 'craster', 'don', 'theon', 'brienne', 'come']"
season-03,e4-And Now His Watch is Ended,"['beric', 'ygritte', 'hound', 'guilty', 'speaks', 'valyrian', 'craster', 'jeor', 'unsullied', 'margaery']"
